method,split,accuracy,flops_per_sample,flops_reduction,latency_ms,latency_reduction,co2_kg,co2_reduction,avg_exit,notes
accuracy_first_base_0.75_alpha_0.05,test,0.8534,232567197.43487257,0.5831300000000132,0.061288700298020325,0.97191401185473,3.848067540430993e-05,0.5831300000000132,1.8801,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.75_alpha_0.10,test,0.8562,239119046.1327315,0.571386000000008,0.06027521310643775,0.9723784496566373,3.956474730190014e-05,0.571386000000008,1.9252,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.75_alpha_0.20,test,0.8596,253272690.67161697,0.5460159999999983,0.05925880303798544,0.9728442268879128,4.190661583407504e-05,0.5460159999999983,2.0201,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.75_alpha_0.30,test,0.8629,271164191.6713027,0.513945999999988,0.06244609489015764,0.9713836274504907,4.4866951814636494e-05,0.513945999999988,2.1374,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.75_alpha_0.40,test,0.8657,301532322.80372405,0.4595119999999784,0.05508088841863881,0.9747587863401502,4.989167675276743e-05,0.4595119999999784,2.3274,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.75_alpha_0.50,test,0.8695,330254681.3153424,0.4080279999999742,0.0638239555984438,0.9707522128613317,5.464409139645903e-05,0.4080279999999742,2.5139,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.80_alpha_0.05,test,0.8616,250379478.19315305,0.5512019999999982,0.06368031051976858,0.9708180392527739,4.1427903567309016e-05,0.5512019999999982,2.0095,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.80_alpha_0.10,test,0.8633,258996632.05786088,0.5357559999999912,0.058501431297746403,0.9731912979403986,4.285370180727653e-05,0.5357559999999912,2.0681,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.80_alpha_0.20,test,0.8662,275785744.34612066,0.5056619999999845,0.05933602261876132,0.9728088404590979,4.5631636044850825e-05,0.5056619999999845,2.1793,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.80_alpha_0.30,test,0.8692,310967341.9776142,0.44259999999997446,0.055256007425564524,0.9746785367944981,5.145279936278461e-05,0.44259999999997446,2.3972,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
